Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,28376,60563,"29920 - St. Pius X Catholic Elementary S",11/11/2022,29920,"Arch Rep. N/A - ",09/12/2022
TOR,10693,81498,"29919 - Sierra Building Group - Towns",11/11/2022,29919,"Arch Rep. N/A - ",09/12/2022
TOR,29270,71844,"29918 - 541 Markham Street",11/11/2022,29918,"Arch Rep. N/A - ",09/12/2022
TOR,11013,37506,"29917 - ATSSC - 800 Bay St 4TH",11/11/2022,29917,"Anthony D'Alfonso - ",09/12/2022
TOR,10067,2947,"29916 - TD Bank - National Spec",11/11/2022,29916,"Kris George - ",09/12/2022
TOR,12491,75700,"29915 - Abundance Healthcare - Hamilton",11/11/2022,29915,"Arch Rep. N/A - ",09/12/2022
TOR,12500,1975,"29914 - Abundance Healthcare - Hamilton",11/11/2022,29914,"Arch Rep. N/A - ",09/12/2022
TOR,29423,73206,"29913 - ATSSC - 800 Bay St 4TH",11/11/2022,29913,"Arch Rep. N/A - ",09/12/2022
TOR,11603,80801,"29912 - Unnamed North Oshawa Public Elem",11/11/2022,29912,"Elizabeth Livingston - ",09/12/2022
TOR,10925,62981,"29911 - ATSSC - 800 Bay St 4TH",11/11/2022,29911,"Anthony D'Alfonso - ",09/12/2022
TOR,11040,2608,"29910 - ATSSC - 800 Bay St 4TH",11/11/2022,29910,"Arch Rep. N/A - ",09/12/2022
TOR,12500,1975,"29909 - ATSSC - 800 Bay St 4TH",11/11/2022,29909,"Mattia Di Pietro - ",09/12/2022
TOR,12491,75700,"29908 - ATSSC - 800 Bay St 4TH",11/11/2022,29908,"Mattia Di Pietro - ",09/12/2022
