Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,10907,2753,"32582 - Etobicoke Wellness Centre",06/04/2023,32582,"Arch Rep. N/A - ",04/05/2023
TOR,10693,69215,"32581 - St. Clair College Windsor Campus",06/04/2023,32581,"Arch Rep. N/A - ",04/05/2023
TOR,10925,62981,"32580 - Grandview Children's Treatment C",06/04/2023,32580,"Arch Rep. N/A - ",04/05/2023
TOR,29270,91053,"32579 - McMaster Innovation Park - OMNIA",06/04/2023,32579,"Arch Rep. N/A - ",04/05/2023
TOR,10693,69215,"32578 - Etobicoke Wellness Centre",06/04/2023,32578,"Arch Rep. N/A - ",04/05/2023
TOR,11013,37506,"32577 - National Bank",06/04/2023,32577,"Kris George - ",04/05/2023
TOR,12339,1860,"32575 - Etobicoke Wellness Centre",06/04/2023,32575,"Arch Rep. N/A - ",04/05/2023
TOR,12385,84537,"32574 - Etobicoke Wellness Centre",06/04/2023,32574,"Arch Rep. N/A - ",04/05/2023
TOR,12491,75700,"32573 - Etobicoke Wellness Centre",06/04/2023,32573,"Arch Rep. N/A - ",04/05/2023
TOR,11003,62076,"32572 - Canada Building Windsor",06/04/2023,32572,"Arch Rep. N/A - ",04/05/2023
TOR,11040,2608,"32571 - National Bank",06/04/2023,32571,"Kris George - ",04/05/2023
TOR,10693,14750,"32570 - Blake Lock HS",06/04/2023,32570,"Elizabeth Livingston - ",04/05/2023
TOR,40919,83771,"32568 - Robert Bateman High School Burli",06/04/2023,32568,"Elizabeth Livingston - ",04/05/2023
