Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,12400,71540,"29793 - Vellore Hall - Main Floor refres",10/09/2022,29793,"Arch Rep. N/A - ",08/10/2022
TOR,39961,81764,"29792 - Vellore Hall - Main Floor refres",10/09/2022,29792,"Arch Rep. N/A - ",08/10/2022
TOR,28376,60563,"29791 - Vellore Hall - Main Floor refres",10/09/2022,29791,"Arch Rep. N/A - ",08/10/2022
TOR,29270,77307,"29790 - Vellore Hall - Main Floor refres",10/09/2022,29790,"Arch Rep. N/A - ",08/10/2022
TOR,28376,60563,"29789 - TSCC – Corridor Refurbishment ",10/09/2022,29789,"Anthony D'Alfonso - ",08/10/2022
TOR,10997,12040,"29788 - Holy Family Cemetery Addendum 3 ",10/09/2022,29788,"Arch Rep. N/A - ",08/10/2022
TOR,11003,75626,"29787 - Ecole Secondaire Gabriel - Demon",10/09/2022,29787,"Arch Rep. N/A - ",08/10/2022
TOR,37918,76943,"29786 - Ecole Secondaire Gabriel - Demon",10/09/2022,29786,"Arch Rep. N/A - ",08/10/2022
TOR,11623,75618,"29785 - Holy Family Cemetery Addendum 3 ",10/09/2022,29785,"Arch Rep. N/A - ",08/10/2022
TOR,10693,69215,"29784 - East Gwillimbury Health & Active",10/09/2022,29784,"Elizabeth Livingston - ",08/10/2022
