Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,10994,50503,"29061 - St. Rene Goupil - Childcare Addi",04/03/2022,29061,"Arch Rep. N/A - ",02/02/2022
TOR,11603,80801,"29060 - St. Rene Goupil - Childcare Addi",04/03/2022,29060,"Arch Rep. N/A - ",02/02/2022
TOR,27162,47779,"29059 - St. Rene Goupil - Childcare Addi",04/03/2022,29059,"Arch Rep. N/A - ",02/02/2022
TOR,12491,75700,"29058 - Brock Community Health Centre - ",04/03/2022,29058,"Deborah McCarthy - ",02/02/2022
TOR,12756,69153,"29057 - St. Rene Goupil - Childcare Addi",04/03/2022,29057,"Arch Rep. N/A - ",02/02/2022
TOR,10925,62981,"29056 - Sayers Grocery Store Apsley",04/03/2022,29056,"Elizabeth Livingston - ",02/02/2022
TOR,10693,69215,"29055 - Brock Community Health Centre - ",04/03/2022,29055,"Deborah McCarthy - ",02/02/2022
TOR,12400,71540,"29054 - Wendy's & C Store Hamilton",04/03/2022,29054,"Arch Rep. N/A - ",02/02/2022
TOR,39023,79662,"29053 - St. Rene Goupil - Childcare Addi",04/03/2022,29053,"Arch Rep. N/A - ",02/02/2022
TOR,23499,77301,"29052 - St. Rene Goupil - Childcare Addi",04/03/2022,29052,"Arch Rep. N/A - ",02/02/2022
TOR,11623,69926,"29051 - Brock Community Health Centre - ",04/03/2022,29051,"Arch Rep. N/A - ",02/02/2022
TOR,10693,69215,"29050 - Brock Community Health Centre - ",04/03/2022,29050,"Arch Rep. N/A - ",02/02/2022
