Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,12491,75700,"32671 - Loblaws Distribution Centre",07/14/2023,32671,"Kelly Conroy - ",05/15/2023
TOR,11034,63288,"32670 - Spadina Sussex Student Residence",07/14/2023,32670,"Arch Rep. N/A - ",05/15/2023
TOR,11030,80869,"32669 - Spadina Sussex Student Residence",07/14/2023,32669,"Arch Rep. N/A - ",05/15/2023
TOR,11014,46249,"32668 - Spadina Sussex Student Residence",07/14/2023,32668,"Arch Rep. N/A - ",05/15/2023
TOR,11003,47325,"32667 - KFC & Taco Bell -  National Spec",07/14/2023,32667,"Kris George - ",05/15/2023
TOR,10925,62981,"32665 - Crown 10 Carlson Crt Washrooms",07/14/2023,32665,"Arch Rep. N/A - ",05/15/2023
TOR,29423,73206,"32664 - Crown 10 Carlson Crt Washrooms",07/14/2023,32664,"Arch Rep. N/A - ",05/15/2023
TOR,11032,87006,"32663 - Crown 10 Carlson Crt Washrooms",07/14/2023,32663,"Arch Rep. N/A - ",05/15/2023
TOR,12318,20550,"32662 - The Rekai Centre at Cherry Place",07/14/2023,32662,"Arch Rep. N/A - ",05/15/2023
TOR,10693,69215,"32661 - The Rekai Centre at Cherry Place",07/14/2023,32661,"Arch Rep. N/A - ",05/15/2023
