Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,11004,1401,"29102 - Parkland Ancaster",04/10/2022,29102,"Arch Rep. N/A - ",02/09/2022
TOR,27162,47779,"29101 - Peel Region Paramedic Services S",04/10/2022,29101,"Arch Rep. N/A - ",02/09/2022
TOR,12385,47894,"29100 - Peel Region Paramedic Services S",04/10/2022,29100,"Elizabeth Livingston - ",02/09/2022
TOR,10693,14750,"29099 - UTM 1867 Inner Circle Rd Mississ",04/10/2022,29099,"Arch Rep. N/A - ",02/09/2022
TOR,34742,73199,"29098 -  Lambton College LC Biology & Re",04/10/2022,29098,"Arch Rep. N/A - ",02/09/2022
TOR,12318,20550,"29097 - VMC Block A5 - Vaughan",04/10/2022,29097,"Arch Rep. N/A - ",02/09/2022
TOR,11047,72293,"29096 - VMC Block A5 - Vaughan",04/10/2022,29096,"Arch Rep. N/A - ",02/09/2022
TOR,10719,3896,"29095 - Joe Fresh - Fraser Ave",04/10/2022,29095,"Arch Rep. N/A - ",02/09/2022
TOR,14500,56885,"29094 - Dixon Hall Heritage Home - 220 C",04/10/2022,29094,"Arch Rep. N/A - ",02/09/2022
TOR,12318,20550,"28790 - Artform M1 - 86-90 Dundas Street",03/09/2022,28790,"Arch Rep. N/A - ",02/09/2022
