Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,12491,75700,"29198 - Jansen Change Room - 19 Green Be",05/06/2022,29198,"Arch Rep. N/A - ",03/07/2022
TOR,12756,69153,"29197 - Jansen Change Room - 19 Green Be",05/06/2022,29197,"Arch Rep. N/A - ",03/07/2022
TOR,10925,62981,"29196 - Jansen Change Room - 19 Green Be",05/06/2022,29196,"Arch Rep. N/A - ",03/07/2022
TOR,11032,39284,"29195 - City OF Guelph South End Communi",05/06/2022,29195,"Arch Rep. N/A - ",03/07/2022
TOR,11623,85207,"29194 - Wainfleet Central Fire Station #",05/06/2022,29194,"Arch Rep. N/A - ",03/07/2022
TOR,12405,26794,"29193 - Wainfleet Central Fire Station #",05/06/2022,29193,"Arch Rep. N/A - ",03/07/2022
TOR,10707,60578,"29191 - Toronto Community Housing - 828 ",05/06/2022,29191,"Arch Rep. N/A - ",03/07/2022
TOR,10693,72812,"29190 - Wainfleet Central Fire Station #",05/06/2022,29190,"Arch Rep. N/A - ",03/07/2022
TOR,11013,48018,"29188 - City OF Guelph South End Communi",05/06/2022,29188,"Arch Rep. N/A - ",03/07/2022
TOR,27162,47779,"29187 - Toronto Community Housing - 828 ",05/06/2022,29187,"Arch Rep. N/A - ",03/07/2022
