Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,10693,14750,"32904 - Banwell Garden Windsor",09/30/2023,32904,"Cara Silvestri - ",08/01/2023
TOR,11032,62889,"32903 - IO – 8th Floor Consolidation -",09/30/2023,32903,"Elizabeth Livingston - ",08/01/2023
TOR,10994,1393,"32901 - Uptown Eye Specialist Brampton -",09/30/2023,32901,"Arch Rep. N/A - ",08/01/2023
TOR,10997,4985,"32900 - Uptown Eye Specialist Brampton -",09/30/2023,32900,"Arch Rep. N/A - ",08/01/2023
TOR,10997,4985,"32899 - IO – 8th Floor Consolidation -",09/30/2023,32899,"Elizabeth Livingston - ",08/01/2023
TOR,12491,75700,"32898 - Osprey Golf Club – Heathlands ",09/30/2023,32898,"Arch Rep. N/A - ",08/01/2023
TOR,11047,78649,"32897 - Pine Villa LTC",09/30/2023,32897,"Arch Rep. N/A - ",08/01/2023
TOR,10067,83499,"32896 - Pine Villa LTC",09/30/2023,32896,"Arch Rep. N/A - ",08/01/2023
TOR,11032,48648,"32895 - MLPM Health Canada Fit-Up 4900 Y",09/30/2023,32895,"Elizabeth Livingston - ",08/01/2023
TOR,10997,4985,"32894 - IO – 8th Floor Consolidation -",09/29/2023,32894,"Elizabeth Livingston - ",08/01/2023
