Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,28376,60563,"32886 - Hobart Canada Training Centre",09/23/2023,32886,"Mattia Di Pietro - ",07/25/2023
TOR,27162,47779,"32885 - Yee Hong Finch II Long-Term Care",09/23/2023,32885,"Arch Rep. N/A - ",07/25/2023
TOR,10693,69215,"32883 - Yee Hong Finch II Long-Term Care",09/23/2023,32883,"Arch Rep. N/A - ",07/25/2023
TOR,28678,81261,"32882 - Highland Commons - Military Trai",09/23/2023,32882,"Robin Ma - ",07/25/2023
TOR,10987,69855,"32881 - Yee Hong Finch II Long-Term Care",09/23/2023,32881,"Mattia Di Pietro - ",07/25/2023
TOR,17956,36319,"32880 - Yee Hong Finch II Long-Term Care",09/23/2023,32880,"Mattia Di Pietro - ",07/25/2023
TOR,10064,70831,"32879 - Banwell Garden Windsor",09/22/2023,32879,"Anthony D'Alfonso - ",07/24/2023
TOR,11047,72293,"32878 - Yee Hong Finch II Long-Term Care",09/22/2023,32878,"Mattia Di Pietro - ",07/24/2023
TOR,11032,48648,"32877 - MLPM Health Canada Fit-Up 4900 Y",09/22/2023,32877,"Elizabeth Livingston - ",07/24/2023
TOR,11001,79191,"32876 - Yee Hong Finch II Long-Term Care",09/22/2023,32876,"Mattia Di Pietro - ",07/24/2023
TOR,11047,72293,"32875 - Yee Hong Finch II Long-Term Care",09/22/2023,32875,"Mattia Di Pietro - ",07/24/2023
TOR,25213,61693,"32874 - Yee Hong Finch II Long-Term Care",09/22/2023,32874,"Mattia Di Pietro - ",07/24/2023
TOR,12385,73369,"32872 - Yee Hong Finch II Long-Term Care",09/22/2023,32872,"Mattia Di Pietro - ",07/24/2023
