Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,12339,54645,"33143 - Azelis Canada - 30 Ironside Dr.-",12/22/2023,33143,"Arch Rep. N/A - ",10/23/2023
TOR,11036,50192,"33142 - Holy Family Cemetery Crematorium",12/22/2023,33142,"Arch Rep. N/A - ",10/23/2023
TOR,10994,1393,"33141 - Nubury Properties - 377 Ridelle ",12/22/2023,33141,"Arch Rep. N/A - ",10/23/2023
TOR,10999,3887,"33140 - Nubury Properties - 377 Ridelle ",12/22/2023,33140,"Arch Rep. N/A - ",10/23/2023
TOR,15581,67263,"33139 - Azelis Canada - 30 Ironside Dr.-",12/22/2023,33139,"Arch Rep. N/A - ",10/23/2023
TOR,10693,67758,"33138 - Azelis Canada - 30 Ironside Dr.-",12/22/2023,33138,"Arch Rep. N/A - ",10/23/2023
TOR,11032,87006,"33137 - Azelis Canada - 30 Ironside Dr.-",12/22/2023,33137,"Arch Rep. N/A - ",10/23/2023
TOR,12385,47894,"33136 - Azelis Canada - 30 Ironside Dr.-",12/22/2023,33136,"Arch Rep. N/A - ",10/23/2023
TOR,10693,67758,"33135 - Stouffville Northwest #3 Element",12/22/2023,33135,"Elizabeth Livingston - ",10/23/2023
TOR,12584,39602,"33134 - Stouffville Northwest #3 Element",12/22/2023,33134,"Elizabeth Livingston - ",10/23/2023
TOR,10693,69215,"33133 - NRB Modular Solutions - Northern",12/22/2023,33133,"Mattia Di Pietro - ",10/23/2023
TOR,39023,79662,"33132 - Mountain Dental Clinic",12/22/2023,33132,"Arch Rep. N/A - ",10/23/2023
TOR,34742,73199,"33131 - Mountain Dental Clinic",12/19/2023,33131,"Anthony D'Alfonso - ",10/23/2023
TOR,10693,14750,"33124 - Magellan LTC and Affordable Hous",12/19/2023,33124,"Elizabeth Livingston - ",10/23/2023
TOR,10981,37550,"33123 - Magellan LTC and Affordable Hous",12/19/2023,33123,"Elizabeth Livingston - ",10/23/2023
